Symbol,Name,Market Cap,Last Sale,Net Change,Percentage Change
NFLX,"Netflix, Inc. Common Stock","241,333,668,126",$548.73,40.97,8.07%
NVDA,NVIDIA Corporation Common Stock,"257,789,550,000",$419.17,-1.19,0.28%
NXPI,NXP Semiconductors N.V. Common Stock,"32,671,030,918",$117.10,-0.8,0.68%
ORLY,"O'Reilly Automotive, Inc. Common Stock","31,231,181,969",$420.76,1.35,0.32%
PCAR,PACCAR Inc. Common Stock,"26,012,491,956",$75.24,0.81,1.09%
PAYX,"Paychex, Inc. Common Stock","26,300,040,000",$73.30,0.42,0.58%
PYPL,"PayPal Holdings, Inc. Common Stock","209,438,327,609",$178.40,-4.83,2.64%
PEP,"PepsiCo, Inc. Common Stock","186,563,308,221",$134.46,1.75,1.32%
QCOM,QUALCOMM Incorporated Common Stock,"104,067,087,430",$92.51,-0.74,0.79%
REGN,"Regeneron Pharmaceuticals, Inc. Common Stock","63,697,281,948",$620.86,-19.77,3.09%
ROST,"Ross Stores, Inc. Common Stock","30,890,436,619",$86.79,2.07,2.44%
SGEN,"Seattle Genetics, Inc. Common Stock","30,180,295,866",$174.35,-6.82,3.76%
SIRI,Sirius XM Holdings Inc. Common Stock,"24,960,983,020",$5.70,0.07,1.24%
SWKS,"Skyworks Solutions, Inc. Common Stock","21,892,207,192",$131.22,-1.51,1.14%
SPLK,Splunk Inc. Common Stock,"33,572,187,571",$211.32,6.47,3.16%
SBUX,Starbucks Corporation Common Stock,"86,793,007,000",$74.29,0.72,0.98%
SNPS,"Synopsys, Inc. Common Stock","29,857,671,873",$198.01,-6.54,3.20%
TMUS,"T-Mobile US, Inc. Common Stock","132,613,393,449",$107.05,0.88,0.83%
TTWO,"Take-Two Interactive Software, Inc. Common Stock","17,536,930,192",$153.91,3.15,2.09%
TSLA,"Tesla, Inc. Common Stock","286,494,717,173","$1,544.65",150.37,10.78%
TXN,Texas Instruments Incorporated Common Stock,"119,796,862,830",$130.53,0.1,0.08%
KHC,The Kraft Heinz Company Common Stock,"39,440,771,758",$32.28,0.91,2.90%
TCOM,Trip.com Group Limited American Depositary Shares,"15,894,269,139",$26.80,-0.1,0.37%
ULTA,"Ulta Beauty, Inc. Common Stock","11,036,532,239",$195.99,3.69,1.92%
VRSN,"VeriSign, Inc. Common Stock","24,262,134,565",$209.99,-2.51,1.18%
VRSK,"Verisk Analytics, Inc. Common Stock","28,260,669,363",$174.17,0.97,0.56%
VRTX,Vertex Pharmaceuticals Incorporated Common Stock,"76,344,026,965",$294.45,-0.95,0.32%
WBA,"Walgreens Boots Alliance, Inc. Common Stock","35,194,074,223",$40.12,1.11,2.85%
WDC,Western Digital Corporation Common Stock,"12,680,350,664",$42.31,-0.01,0.02%
WDAY,"Workday, Inc. Class A Common Stock","46,031,800,000",$195.88,-1.68,0.85%
XEL,Xcel Energy Inc. Common Stock,"33,490,143,191",$63.77,0.53,0.84%
XLNX,"Xilinx, Inc. Common Stock","24,110,289,148",$99.14,-1.09,1.09%
ZM,"Zoom Video Communications, Inc. Class A Common Stock","77,823,750,748",$275.87,6.35,2.36%
